Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,248.750000,249.449997,244.500000,246.750000,112.200027,11484275
2018-06-05,246.250000,247.500000,242.500000,246.250000,111.972672,8543831
2018-06-06,246.350006,248.600006,242.199997,246.449997,112.063629,19831399
2018-06-07,248.550003,256.500000,245.899994,247.199997,112.404671,29651967
2018-06-08,247.199997,247.899994,242.550003,246.300003,111.995415,10413596
2018-06-11,246.300003,248.000000,245.050003,246.100006,111.904480,17253950
2018-06-12,246.500000,247.250000,243.350006,245.500000,111.631653,9625030
2018-06-13,245.699997,245.699997,241.500000,243.100006,110.540344,11470921
2018-06-14,241.000000,243.500000,239.100006,240.050003,109.153465,8930060
2018-06-15,241.000000,241.000000,234.000000,238.600006,108.494148,24482557
2018-06-18,236.000000,236.000000,228.649994,232.199997,105.583969,15575678
2018-06-19,228.949997,229.850006,221.600006,224.300003,101.991768,22092589
2018-06-20,226.000000,230.149994,225.250000,228.699997,103.992493,17011598
2018-06-21,227.500000,230.800003,226.000000,229.050003,104.151642,16864366
2018-06-22,228.050003,229.850006,226.550003,228.550003,103.924309,15062203
2018-06-25,229.000000,239.500000,229.000000,230.649994,104.879181,40657710
2018-06-26,228.800003,233.399994,225.550003,231.449997,105.242943,13407360
2018-06-27,233.000000,233.250000,228.149994,230.100006,104.629089,12766494
2018-06-28,231.000000,233.600006,229.500000,230.000000,104.583618,12656271
2018-06-29,228.000000,237.850006,228.000000,236.199997,107.402824,11526273
2018-07-02,234.750000,243.800003,228.300003,239.850006,109.062515,17820231
2018-07-03,236.199997,236.199997,230.050003,231.050003,105.061066,15851682
2018-07-04,229.449997,229.449997,225.199997,228.050003,103.696945,11756061
2018-07-05,227.000000,227.000000,219.000000,221.300003,100.627632,12643742
2018-07-06,219.000000,224.699997,216.550003,219.100006,99.627266,14107005
2018-07-09,222.250000,227.550003,221.100006,226.600006,103.037598,10712428
2018-07-10,227.050003,228.000000,224.850006,226.050003,102.787521,8513918
2018-07-11,222.899994,222.899994,216.250000,218.100006,99.172562,16370691
2018-07-12,218.500000,221.000000,211.000000,211.399994,96.125992,16378996
2018-07-13,213.000000,213.449997,209.100006,210.449997,95.694008,10718429
2018-07-16,211.500000,212.000000,204.800003,206.399994,93.852425,9413761
2018-07-17,206.000000,212.350006,203.199997,210.100006,95.534866,7590806
2018-07-18,210.000000,210.649994,202.000000,203.699997,92.624718,7846762
2018-07-19,205.350006,211.250000,201.550003,208.199997,94.670929,12107204
2018-07-20,206.050003,206.550003,200.649994,202.399994,92.033592,9115587
2018-07-23,204.000000,213.399994,200.699997,211.600006,96.216942,8931165
2018-07-24,209.000000,220.000000,208.000000,216.250000,98.331352,15754032
2018-07-25,217.149994,221.750000,216.750000,218.949997,99.559067,11261855
2018-07-26,220.699997,221.649994,215.500000,216.500000,98.445015,7164072
2018-07-27,218.000000,221.000000,216.550003,219.750000,99.922829,6695579
2018-07-30,221.899994,226.000000,220.600006,224.899994,102.264580,8293254
2018-07-31,225.000000,225.050003,218.750000,222.199997,101.036858,7121436
2018-08-01,219.800003,229.000000,216.199997,218.199997,99.218025,14690496
2018-08-02,217.000000,217.899994,211.449997,214.149994,97.376434,14319624
2018-08-03,215.050003,223.699997,214.850006,222.399994,101.127808,18274236
2018-08-06,224.500000,225.449997,221.699997,224.350006,102.014503,6347884
2018-08-07,225.000000,230.750000,223.500000,226.800003,103.128540,16043721
2018-08-08,228.449997,229.300003,223.600006,224.800003,102.219116,9371088
2018-08-09,225.949997,232.500000,222.000000,230.600006,104.856445,12895636
2018-08-10,232.899994,233.699997,222.199997,223.699997,101.718941,11685692
2018-08-13,218.399994,218.399994,213.500000,216.300003,98.354065,12726787
2018-08-14,216.000000,217.649994,213.050003,215.100006,97.808434,10074719
2018-08-16,208.000000,210.899994,205.350006,208.800003,94.943748,14309862
2018-08-17,212.199997,216.699997,211.000000,215.199997,97.853889,13308267
2018-08-20,216.899994,222.800003,215.600006,221.850006,100.877716,10506489
2018-08-21,223.050003,223.449997,218.100006,218.850006,99.513596,7890862
2018-08-23,218.500000,218.500000,212.050003,214.800003,97.672012,9896492
2018-08-24,214.000000,225.000000,212.250000,224.050003,101.878075,12032977
2018-08-27,225.949997,227.500000,222.500000,225.500000,102.537422,9338893
2018-08-28,227.050003,231.899994,225.550003,230.300003,104.720032,15432343
2018-08-29,233.399994,238.250000,227.350006,228.050003,103.696945,31404401
2018-08-30,229.850006,231.050003,226.149994,230.000000,104.583618,24136924
2018-08-31,229.000000,230.600006,224.000000,227.699997,103.537781,15184001
2018-09-03,228.899994,230.250000,226.750000,228.449997,103.878807,7897757
2018-09-04,228.649994,229.600006,221.649994,224.800003,102.219116,11341666
2018-09-05,224.000000,230.000000,220.699997,229.449997,104.333527,10415515
2018-09-06,230.949997,230.949997,225.699997,229.899994,104.538139,13519245
2018-09-07,229.350006,233.699997,226.699997,230.250000,104.697289,24336043
2018-09-10,233.000000,233.800003,222.199997,223.500000,101.628006,18259846
2018-09-11,225.000000,227.399994,218.000000,219.649994,99.877357,14276023
2018-09-12,220.750000,225.800003,219.000000,223.600006,101.673477,8849353
2018-09-14,228.800003,236.449997,226.050003,235.600006,107.129997,17674079
2018-09-17,235.449997,237.750000,232.149994,234.899994,106.811714,13008924
2018-09-18,235.000000,235.000000,228.000000,230.149994,104.651840,13228698
2018-09-19,230.750000,232.350006,227.000000,230.100006,104.629089,18255648
2018-09-21,230.949997,235.300003,221.100006,230.449997,104.788239,42361028
2018-09-24,232.500000,237.550003,228.250000,229.899994,104.538139,20942520
2018-09-25,230.199997,232.899994,226.699997,230.399994,104.765503,16770608
2018-09-26,231.100006,245.000000,229.699997,241.550003,109.835541,40596440
2018-09-27,241.850006,246.800003,238.600006,240.649994,109.426300,25137487
2018-09-28,241.250000,242.800003,227.100006,232.300003,105.629463,20835004
2018-10-01,230.000000,234.100006,225.449997,232.649994,105.788597,15971844
2018-10-03,232.699997,246.899994,232.149994,240.100006,109.176208,36242984
2018-10-04,239.649994,244.300003,234.100006,239.399994,108.857903,27385995
2018-10-05,237.000000,241.500000,226.100006,231.649994,105.333878,17175345
2018-10-08,227.000000,228.250000,198.250000,206.750000,94.011566,37293316
2018-10-09,208.000000,216.500000,204.050003,212.100006,96.444290,17869475
2018-10-10,213.300003,220.649994,213.250000,218.149994,99.195290,12774692
2018-10-11,208.149994,217.750000,200.000000,207.899994,94.534485,16424058
2018-10-12,210.500000,216.600006,210.399994,214.300003,97.444649,11697753
2018-10-15,216.899994,216.899994,208.649994,210.600006,95.762230,14022679
2018-10-16,212.000000,214.800003,211.500000,212.449997,96.603432,5405111
2018-10-17,215.399994,216.449997,206.649994,207.949997,94.557220,8586330
2018-10-19,206.449997,214.199997,199.750000,211.100006,95.989586,19958162
2018-10-22,213.050003,219.250000,207.850006,213.550003,97.103622,13766095
2018-10-23,211.800003,216.250000,207.600006,210.350006,95.648537,12100077
2018-10-24,212.199997,214.000000,208.300003,211.899994,96.353333,8365420
2018-10-25,208.600006,209.600006,201.600006,204.600006,93.033951,21349045
2018-10-26,204.850006,207.449997,199.000000,203.649994,92.601997,12026230
2018-10-29,207.050003,212.500000,203.850006,211.399994,96.125992,10870728
2018-10-30,212.600006,216.399994,210.000000,211.199997,96.035049,10500891
2018-10-31,211.449997,213.850006,207.000000,211.149994,96.012299,10731974
2018-11-01,213.000000,215.399994,208.000000,212.800003,96.762596,17281051
2018-11-02,217.000000,227.350006,214.550003,225.899994,102.719307,19722750
2018-11-05,225.449997,227.750000,220.800003,222.449997,101.150543,13542401
2018-11-06,207.699997,213.649994,205.300003,207.399994,102.110603,19834081
2018-11-07,209.600006,211.949997,209.100006,209.750000,103.267601,2448864
2018-11-09,210.949997,212.000000,208.300003,209.050003,102.922958,6868901
2018-11-12,209.750000,210.899994,202.250000,203.149994,100.018173,11801858
2018-11-13,202.000000,206.000000,201.000000,205.600006,101.224403,9244952
2018-11-14,206.500000,207.899994,203.550003,204.100006,100.485916,7525220
2018-11-15,205.300003,209.649994,202.750000,207.550003,102.184448,10248843
2018-11-16,208.000000,209.000000,205.550003,206.800003,101.815224,7998497
2018-11-19,207.800003,212.800003,207.399994,211.350006,104.055344,10878040
2018-11-20,210.250000,210.899994,200.000000,205.250000,101.052101,18615840
2018-11-21,204.000000,204.399994,201.000000,201.899994,99.402756,14273100
2018-11-22,203.899994,204.600006,199.000000,199.600006,98.270386,12387967
2018-11-26,200.000000,200.050003,191.000000,195.800003,96.399506,20552801
2018-11-27,193.850006,199.699997,190.199997,195.000000,96.005638,21061915
2018-11-28,196.199997,197.350006,192.149994,192.949997,94.996353,13300756
2018-11-29,196.500000,201.899994,196.250000,198.800003,97.876518,16248210
2018-11-30,200.800003,201.000000,194.850006,195.850006,96.424126,14713297
